"","doy","park","month","decades","accumswe_daily","aet_daily","deficit_daily","pet_daily","rain_daily","runoff_daily","soil_water_daily"
"91",2,"TICA","Jan","1980-2019",63.9375,0.0125,0,0.0125,0.6775,1.05,129.515
"92",2,"TICA","Jan","2020-2059",54.03,0.0475,0,0.0475,1.25,2.0675,126.86
"93",2,"TICA","Jan","2060-2099",22.7525,0.1125,0,0.1125,2.0725,3.4,133.8675
"94",2,"ZION","Jan","1980-2019",8.4775,0.19,0.0225,0.2175,0.795,1.35,38.3425
"95",2,"ZION","Jan","2020-2059",0.325,0.39,0.0625,0.4475,1.215,1.375,36.1775
"96",2,"ZION","Jan","2060-2099",0.595,0.46,0.12,0.5825,0.665,0.71,33.5175
"97",3,"ARCH","Jan","1980-2019",7.5325,0.095,0.015,0.11,0.3575,0.245,12.92
"98",3,"ARCH","Jan","2020-2059",1.105,0.195,0.07,0.27,0.3525,0.3575,11.83
"99",3,"ARCH","Jan","2060-2099",0.1175,0.325,0.15,0.485,0.3825,0.1675,9.995
"100",3,"BLCA","Jan","1980-2019",19.885,0.01,0.01,0.02,0.175,0.27,76.6575
"101",3,"BLCA","Jan","2020-2059",9.1425,0.0675,0.0075,0.075,0.7475,0.5275,81.8825
"102",3,"BLCA","Jan","2060-2099",1.9725,0.1725,0.095,0.2775,0.6775,0,61.8125
"103",3,"BRCA","Jan","1980-2019",20.9025,0.02,0.01,0.035,0.115,0.42,42.9225
"104",3,"BRCA","Jan","2020-2059",10.22,0.1225,0.0175,0.14,0.3425,0.2,45.2825
"105",3,"BRCA","Jan","2060-2099",2.965,0.1825,0.0775,0.2525,0.475,0.465,40.985
"106",3,"CANY","Jan","1980-2019",4.715,0.1025,0.0325,0.135,0.4425,0.2675,8.255
"107",3,"CANY","Jan","2020-2059",0.8575,0.1875,0.085,0.2825,0.1825,0.025,7.3825
"108",3,"CANY","Jan","2060-2099",0.115,0.265,0.15,0.4075,0.5375,0.345,6.8525
"109",3,"CARE","Jan","1980-2019",5.5625,0.0325,0.0275,0.0675,0.08,0.035,27.1525
"110",3,"CARE","Jan","2020-2059",2.84,0.115,0.09,0.1975,0.12,0,26.7275
"111",3,"CARE","Jan","2060-2099",0.795,0.165,0.15,0.3125,0.2725,0.0825,27.2875
"112",3,"CEBR","Jan","1980-2019",142.85,0.0075,0,0.01,0,0.11,226.3975
"113",3,"CEBR","Jan","2020-2059",99.5925,0.005,0,0.005,0.8375,0.9425,227.625
"114",3,"CEBR","Jan","2060-2099",34.33,0.055,0,0.055,0.9225,1.84,224.0475
"115",3,"COLM","Jan","1980-2019",8.9125,0.0675,0.015,0.0825,0.145,0.1575,43.8675
"116",3,"COLM","Jan","2020-2059",1.305,0.14,0.065,0.2075,0.2375,0.26,43.9425
"117",3,"COLM","Jan","2060-2099",0.1775,0.3,0.165,0.47,0.3875,0.1325,34.0175
"118",3,"CURE","Jan","1980-2019",24.6125,0.0025,0,0.0025,0,0,21.9825
"119",3,"CURE","Jan","2020-2059",21.8725,0,0,0,0,0,22.1975
"120",3,"CURE","Jan","2060-2099",12.06,0.015,0.005,0.02,0.06,0.0525,19.4925
"121",3,"DINO","Jan","1980-2019",13.45,0.015,0.005,0.0175,0.13,0.1275,40.365
"122",3,"DINO","Jan","2020-2059",6.4625,0.05,0.0125,0.0625,0.11,0.0925,41.135
"123",3,"DINO","Jan","2060-2099",4.1525,0.145,0.025,0.17,0.3625,0.3575,45.33
"124",3,"FOBU","Jan","1980-2019",38.64,0,0,0,0,0,164.7175
"125",3,"FOBU","Jan","2020-2059",30.695,0.0225,0.0025,0.0275,0.5575,0,138.1025
"126",3,"FOBU","Jan","2060-2099",8.1775,0.0475,0.02,0.0675,0.495,0,128.7875
"127",3,"GOSP","Jan","1980-2019",19.13,0.02,0.005,0.02,0.31,0.37,65.995
"128",3,"GOSP","Jan","2020-2059",6.72,0.18,0.0125,0.1925,1.1375,0.805,74.74
"129",3,"GOSP","Jan","2060-2099",0.4425,0.315,0.0325,0.3525,1.0775,1.005,70.24
"130",3,"HOVE","Jan","1980-2019",9.0175,0.08,0.0425,0.1175,0.3425,0.095,60.49
"131",3,"HOVE","Jan","2020-2059",2.165,0.135,0.1125,0.245,0.375,0,59.4675
"132",3,"HOVE","Jan","2060-2099",0.3675,0.2425,0.26,0.495,0.3925,0,43.885
"133",3,"NABR","Jan","1980-2019",9.675,0.075,0.02,0.1,0.5775,0.2975,38.205
"134",3,"NABR","Jan","2020-2059",1.645,0.21,0.0725,0.29,0.33,0.4075,37.9925
"135",3,"NABR","Jan","2060-2099",0.345,0.325,0.1775,0.5,0.56,0.0175,30.7675
"136",3,"PISP","Jan","1980-2019",1.4675,0.205,0.12,0.3175,0.5975,0.125,42.065
"137",3,"PISP","Jan","2020-2059",0.0325,0.3725,0.2575,0.6375,0.7225,0,37.4775
"138",3,"PISP","Jan","2060-2099",0.1925,0.315,0.395,0.705,0.7675,0,25.4825
"139",3,"TICA","Jan","1980-2019",65.015,0.0075,0.0025,0.0075,0.4375,0.8925,129.5675
"140",3,"TICA","Jan","2020-2059",54.4575,0.05,0,0.05,1.145,2.16,126.96
"141",3,"TICA","Jan","2060-2099",22.465,0.1325,0,0.135,1.8725,2.64,134.3975
"142",3,"ZION","Jan","1980-2019",8.24,0.1575,0.0225,0.1825,1.0525,1.8525,38.4325
"143",3,"ZION","Jan","2020-2059",0.3825,0.3925,0.075,0.46,1.2625,0.965,36.1925
"144",3,"ZION","Jan","2060-2099",0.4425,0.43,0.11,0.545,1.45,1.135,33.7525
"145",4,"ARCH","Jan","1980-2019",8.05,0.0725,0.015,0.0875,0.3125,0.4875,13.05
"146",4,"ARCH","Jan","2020-2059",0.97,0.24,0.08,0.3175,0.1625,0.3425,11.8225
"147",4,"ARCH","Jan","2060-2099",0.2675,0.29,0.16,0.4425,0.575,0.255,10.115
"148",4,"BLCA","Jan","1980-2019",21.2075,0.0025,0.005,0.0075,0.1175,0.26,76.7475
"149",4,"BLCA","Jan","2020-2059",9.2625,0.05,0.01,0.06,0.875,0.815,82.335
"150",4,"BLCA","Jan","2060-2099",1.77,0.245,0.09,0.345,0.57,0.345,62.095
"151",4,"BRCA","Jan","1980-2019",22.2225,0.0325,0.015,0.05,0.03,0.1875,43.0525
"152",4,"BRCA","Jan","2020-2059",10.0575,0.1175,0.015,0.1375,0.18,0.3325,45.475
"153",4,"BRCA","Jan","2060-2099",3.14,0.135,0.05,0.19,0.9975,0.75,41.785
"154",4,"CANY","Jan","1980-2019",5.45,0.05,0.025,0.0725,0.325,0.2625,8.335
"155",4,"CANY","Jan","2020-2059",0.655,0.1775,0.1125,0.295,0.39,0.5075,7.2925
"156",4,"CANY","Jan","2060-2099",0.055,0.2725,0.155,0.445,0.14,0.06,6.7425
"157",4,"CARE","Jan","1980-2019",6.15,0.0525,0.05,0.1,0.115,0,27.4825
"158",4,"CARE","Jan","2020-2059",2.6425,0.1,0.1,0.2025,0.21,0.02,27.015
"159",4,"CARE","Jan","2060-2099",0.6325,0.165,0.17,0.325,0.1025,0.005,27.4225
"160",4,"CEBR","Jan","1980-2019",147.01,0.01,0,0.01,0.09,0.2,226.6175
"161",4,"CEBR","Jan","2020-2059",100.2325,0.02,0,0.02,0.205,0.8,227.7675
"162",4,"CEBR","Jan","2060-2099",36.525,0.04,0.0025,0.0425,1.4175,1.5375,224.77
"163",4,"COLM","Jan","1980-2019",9.3525,0.065,0.01,0.075,0.1775,0.0575,44.25
"164",4,"COLM","Jan","2020-2059",1.075,0.185,0.075,0.2575,0.1675,0.31,44.08
"165",4,"COLM","Jan","2060-2099",0.44,0.2675,0.1625,0.4375,0.6575,0.1,34.445
"166",4,"CURE","Jan","1980-2019",25.8725,0,0,0,0,0,21.9825
"167",4,"CURE","Jan","2020-2059",22.32,0,0,0.0025,0,0,22.245
"168",4,"CURE","Jan","2060-2099",12.7725,0.0125,0.0025,0.0125,0.135,0.265,19.8275
"169",4,"DINO","Jan","1980-2019",14.275,0.005,0.005,0.0125,0.07,0.02,40.4925
"170",4,"DINO","Jan","2020-2059",6.3325,0.0675,0.0125,0.085,0.2975,0.21,41.45
"171",4,"DINO","Jan","2060-2099",3.85,0.15,0.0275,0.18,0.2675,0.265,45.67
"172",4,"FOBU","Jan","1980-2019",39.2725,0,0,0,0,0,164.8575
"173",4,"FOBU","Jan","2020-2059",30.75,0.0075,0.005,0.01,0.165,0,138.4275
"174",4,"FOBU","Jan","2060-2099",8.1275,0.0325,0.03,0.0625,0.2975,0,129.5425
"175",4,"GOSP","Jan","1980-2019",20.08,0.015,0.005,0.02,0.1625,0.0125,66.1825
"176",4,"GOSP","Jan","2020-2059",5.5625,0.13,0.015,0.145,0.6575,0.935,75.655
"177",4,"GOSP","Jan","2060-2099",0.4225,0.2675,0.0375,0.3175,1.085,0.42,70.7325
"178",4,"HOVE","Jan","1980-2019",10.3475,0.0675,0.04,0.11,0.37,0.0175,60.985
"179",4,"HOVE","Jan","2020-2059",2.22,0.185,0.1325,0.315,0.375,0,60.085
"180",4,"HOVE","Jan","2060-2099",0.6275,0.2625,0.225,0.48,1.0675,0,44.73
"181",4,"NABR","Jan","1980-2019",10.8975,0.0925,0.0325,0.125,0.39,0.435,38.2725
"182",4,"NABR","Jan","2020-2059",1.695,0.23,0.0825,0.32,0.2575,0.1225,38.1975
"183",4,"NABR","Jan","2060-2099",0.545,0.3625,0.1525,0.5125,0.925,0.1425,31.3625
"184",4,"PISP","Jan","1980-2019",2.0875,0.175,0.15,0.31,1.2375,0.115,43.2
"185",4,"PISP","Jan","2020-2059",0.24,0.3175,0.2725,0.5875,0.3025,0,37.465
"186",4,"PISP","Jan","2060-2099",0.09,0.4275,0.33,0.745,1.7675,0,26.98
"187",4,"TICA","Jan","1980-2019",66.9125,0.0075,0.0025,0.01,0.4425,0.85,129.595
"188",4,"TICA","Jan","2020-2059",55.2375,0.04,0,0.04,0.85,1.225,127.5925
"189",4,"TICA","Jan","2060-2099",22.2975,0.105,0,0.105,1.615,2.3725,134.73
"190",4,"ZION","Jan","1980-2019",9.3225,0.1575,0.03,0.185,1.4775,1.79,38.825
"191",4,"ZION","Jan","2020-2059",0.8625,0.365,0.0725,0.435,0.7025,0.3925,36.185
"192",4,"ZION","Jan","2060-2099",0.455,0.46,0.0925,0.5575,3.285,2.01,34.8525
"193",5,"ARCH","Jan","1980-2019",8.405,0.065,0.0175,0.08,0.2425,0.7225,13.0725
"194",5,"ARCH","Jan","2020-2059",1.1875,0.235,0.0825,0.325,0.205,0.1275,11.685
"195",5,"ARCH","Jan","2060-2099",0.39,0.3,0.1175,0.42,0.92,0.3725,10.41
"196",5,"BLCA","Jan","1980-2019",22.37,0.0025,0,0.0025,0.1925,0.12,77.15
"197",5,"BLCA","Jan","2020-2059",9.955,0.0675,0.005,0.075,0.1675,0.2825,82.405
"198",5,"BLCA","Jan","2060-2099",1.62,0.27,0.065,0.33,0.5375,0,62.5975
"199",5,"BRCA","Jan","1980-2019",23.725,0.035,0.015,0.05,0.0675,0.1175,43.2425
"200",5,"BRCA","Jan","2020-2059",10.155,0.1175,0.02,0.145,0.395,0.3225,45.86
