"","year","park","variable","annual_value","averages","decades"
"363",1983,"CANY","Deficit",589.8,"annual_avg","1980-2019"
"364",1983,"CANY","AET",195.8,"annual_avg","1980-2019"
"365",1983,"CARE","Soil Water",21.0364383561644,"annual_avg","1980-2019"
"366",1983,"CARE","Runoff",12.8,"annual_avg","1980-2019"
"367",1983,"CARE","Rain",169.2,"annual_avg","1980-2019"
"368",1983,"CARE","Accumulated SWE",11.7,"annual_avg","1980-2019"
"369",1983,"CARE","PET",646.2,"annual_avg","1980-2019"
"370",1983,"CARE","Deficit",433.9,"annual_avg","1980-2019"
"371",1983,"CARE","AET",211.4,"annual_avg","1980-2019"
"372",1983,"CEBR","Soil Water",234.675890410959,"annual_avg","1980-2019"
"373",1983,"CEBR","Runoff",1239.2,"annual_avg","1980-2019"
"374",1983,"CEBR","Rain",340.7,"annual_avg","1980-2019"
"375",1983,"CEBR","Accumulated SWE",1015.5,"annual_avg","1980-2019"
"376",1983,"CEBR","PET",249.6,"annual_avg","1980-2019"
"377",1983,"CEBR","Deficit",12.6,"annual_avg","1980-2019"
"378",1983,"CEBR","AET",236.4,"annual_avg","1980-2019"
"379",1983,"COLM","Soil Water",31.4142465753425,"annual_avg","1980-2019"
"380",1983,"COLM","Runoff",38.4,"annual_avg","1980-2019"
"381",1983,"COLM","Rain",287,"annual_avg","1980-2019"
"382",1983,"COLM","Accumulated SWE",45.9,"annual_avg","1980-2019"
"383",1983,"COLM","PET",709.6,"annual_avg","1980-2019"
"384",1983,"COLM","Deficit",401.7,"annual_avg","1980-2019"
"385",1983,"COLM","AET",306.5,"annual_avg","1980-2019"
"386",1983,"CURE","Soil Water",13.8484931506849,"annual_avg","1980-2019"
"387",1983,"CURE","Runoff",49.8,"annual_avg","1980-2019"
"388",1983,"CURE","Rain",204,"annual_avg","1980-2019"
"389",1983,"CURE","Accumulated SWE",102.6,"annual_avg","1980-2019"
"390",1983,"CURE","PET",475.5,"annual_avg","1980-2019"
"391",1983,"CURE","Deficit",256,"annual_avg","1980-2019"
"392",1983,"CURE","AET",218.5,"annual_avg","1980-2019"
"393",1983,"DINO","Soil Water",32.8871232876712,"annual_avg","1980-2019"
"394",1983,"DINO","Runoff",65,"annual_avg","1980-2019"
"395",1983,"DINO","Rain",265.7,"annual_avg","1980-2019"
"396",1983,"DINO","Accumulated SWE",59.7,"annual_avg","1980-2019"
"397",1983,"DINO","PET",634.1,"annual_avg","1980-2019"
"398",1983,"DINO","Deficit",354.7,"annual_avg","1980-2019"
"399",1983,"DINO","AET",279.1,"annual_avg","1980-2019"
"400",1983,"FOBU","Soil Water",245.728493150685,"annual_avg","1980-2019"
